AssetID,Asset Name,Asset Category,Asset SubCategory,Asset Category_old,Notes,Release Date,Min Horizon,Max Horizon,eROI
32bff738-cf09-457a-95af-1ae86afef6a8,1988 Porsche 911 (930) 3.2 SC Targa in Guards Red,Car,Porsche,,,2024-09-06,2,4,
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,Car,Ferrari,Car,,2024-12-10,2,4,
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",,,,,2024-05-24,2,4,
164578a4-7644-4cb6-9df1-77330051de94,"Amanda Watt, The Ballroom, 2022",,,,,2025-12-19,2,4,
a817302f-a842-41df-8a08-740242e385d8,"Anthony Daley, Epocate, 2022",,,,,2025-10-31,2,4,
7db39931-690c-4d3d-b295-572ed743ce81,"Anthony James, 24” Dodecahedron (Jet Black), 2022",,,,,2025-03-04,2,4,
25273f6a-1d6c-4e13-9493-282d7f8f35f2,"Aston Martin, V12 Vanquish, 2002",Car,Aston Martin,Car,,2023-12-30,2,4,
6015ac5b-8e18-4e41-8923-eae00637fae7,"Aston Martin, V12 Vantage Carbon Black Edition",,,,,2024-06-28,2,4,
f5dd7d0d-6db6-4908-a97d-99fbfd103459,"Audemars Piguet, Royal Oak, Ref. 26331IP",Watch,Audemars Piguet,,,2023-07-27,5,7,
a2a9f436-c361-450d-a57a-5d3448b3f511,Audi R8 V10,Car,Audi,Car,,2024-05-17,2,4,
81956185-9d57-4273-afa1-797b4f21b7a0,Blue Sapphire  – No Heat - 12.36ct,Gemstones,Sapphire,,,2025-05-26,5,7,
e97b96c4-de04-428c-a3db-266245f4f548,Britt Boutros-Ghali - Portfolio Part 2,,,,,2024-04-12,2,4,
f21b77ec-8ff4-49c1-ac98-17ff73146602,"Britt Boutros-Ghali, Portfolio Part 1",,,,,2024-06-28,2,4,
40d33f88-4d3d-4370-90e8-c73e0e8e4bfe,"Britt Boutros-Ghali, Untitled (No 55-024), 2024",,,,,2025-12-26,2,4,
023b106f-ad82-441e-9d1a-a0d21b358242,"Britt Boutros-Ghali, Untitled (No 94-024), 2024",,,,,2025-10-17,2,4,
a61edda7-dc36-4de1-a125-27c7e92425e2,Caroni Rum Cask 1998 #2258,Spirits,Rum,,,2025-07-28,2,4,
b0de4457-0175-4953-9a27-b48e74dcb779,"Champagne Stars, Collection",,,,,2024-03-26,5,7,
4b155703-78d1-4b3f-b85f-459d1a2a240e,"Charles Leclerc Suit, Las Vegas Grand Prix (Signed)",,,,,2026-03-17,1,3,
bb91cb58-671f-4223-ba8c-96dcb4136abd,"Château Lafite Rothschild & Carruades de Lafite, 2023, En Primeur",,,,,2024-06-18,7,9,
aafb5d40-5d1f-40ea-8900-d567f2d893fc,Cristiano Ronaldo 2021 Prizm BC La Liga Gold Power Auto 1of1,Sports Trading Cards,Christiano Ronaldo,Various,,,,,
780970ba-c15f-4881-b370-b083dd1e4b14,"Damien Hirst, Dead Head III, 2009",,,,,2025-11-21,2,4,
e693145f-5b5c-4bbe-9292-7efe91da1312,"Damien Hirst, End of Days, 2003",,,,,2025-04-18,1,3,
2824e42b-9fe9-4d88-a77c-839c152596db,"Damien Hirst, Sanctum Belfry",Art,Damien Hirst,Art,,2026-03-21,3,5,
8972d793-90d6-4667-8e7d-df5037a9ef6f,"Damien Hirst, The Secrets (H-14) - full collection",,,,,2024-09-03,2,4,
2964ccb2-172a-496a-bf09-b06357d858c1,"David Yarrow, The Siberian, 2024",,,,,2024-03-22,2,4,
04d35b08-8aac-4073-9ee3-fca9353ddaf8,"David Yarrow, Welcome to the Jungle, 2024",,,,,2024-05-07,2,4,
7fb00fcd-bbc5-4c24-8abd-f97fcbb3b3ba,"Diamond, Brilliant, 1.62 carat, D-IF",Gemstones,Diamond,,,2024-02-16,4,6,
5069aa65-f12f-46a1-845c-4f299c37d84e,"Domaine Armand Rousseau, Chambertin Grand Cru, 2020",,,,,2023-11-10,7,9,
55512356-30d3-43f8-ba37-c19f5cdeb1c6,"Domaine Leroy, Chambertin Grand Cru, 2013 & Romanee-Saint-Vivant Grand Cru, 2014",,,,,2024-02-29,7,9,
db8e27aa-5b38-4148-bc05-6e236e653e7e,"Domaine Leroy, Nuits-Saint-Georges aux Boudots, 2014",,,,,2022-08-25,7,9,
5133f379-d243-433f-be45-9d97d366ad39,"Duncan Robert McCormick, NY View, 2022",,,,,2024-09-20,2,4,
726ed2f0-6376-46b4-84b5-fa5ae1eaf24b,"Elitsa Ristova, No Heaven No Skies, 2020",,,,,2024-08-27,2,4,
